                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                0.51307,                 1.0568,                0.97063,                0.56087,                0.31119,                0.31414,                0.26789,                0.82975,                 3.3261,                 1.0505,             0.00010398,             0.00010398,             0.00010398
                     14,                 0.5049,                 1.0429,                0.97217,                0.58026,                0.34115,                0.34844,                0.30051,                0.87038,                 3.1229,                 1.0995,             0.00010281,             0.00010281,             0.00010281
                     15,                0.48809,                0.97207,                 0.9607,                0.65966,                0.30467,                0.37333,                0.32528,                0.82438,                 2.9987,                 1.0961,             0.00010165,             0.00010165,             0.00010165
                     16,                0.47424,                0.91448,                   0.96,                 0.6466,                0.36151,                0.39043,                0.33995,                0.82331,                 2.9296,                 1.1027,             0.00010048,             0.00010048,             0.00010048
                     17,                0.46596,                0.89392,                0.95664,                0.78048,                0.31321,                0.43036,                0.37312,                0.81339,                 2.7016,                 1.1057,             9.9309e-05,             9.9309e-05,             9.9309e-05
                     18,                0.46621,                0.88534,                0.95771,                0.71102,                0.38108,                0.45028,                0.39381,                0.79606,                 2.7597,                 1.1131,             9.8141e-05,             9.8141e-05,             9.8141e-05
                     19,                0.46201,                0.84589,                0.95214,                0.70405,                0.36808,                 0.3909,                0.33752,                0.80532,                 2.8405,                 1.1327,             9.6972e-05,             9.6972e-05,             9.6972e-05
                     20,                0.44687,                0.80444,                0.95376,                0.79209,                0.35314,                0.46353,                0.40102,                0.81093,                  2.565,                   1.16,             9.5804e-05,             9.5804e-05,             9.5804e-05
                     21,                0.44544,                0.79136,                0.95183,                 0.7675,                0.34232,                0.40248,                0.34155,                0.86024,                 2.6662,                 1.2181,             9.4636e-05,             9.4636e-05,             9.4636e-05
                     22,                0.44413,                0.76561,                0.94888,                0.79641,                 0.3591,                0.48054,                 0.3988,                0.87373,                 2.4725,                 1.1839,             9.3468e-05,             9.3468e-05,             9.3468e-05
                     23,                0.43141,                0.77668,                0.94667,                0.76696,                0.38039,                 0.4801,                0.40926,                0.90653,                 2.3794,                  1.215,               9.23e-05,               9.23e-05,               9.23e-05
                     24,                0.42727,                0.75203,                0.94376,                0.80383,                 0.4376,                0.51609,                0.43646,                0.89747,                 2.2554,                 1.2236,             9.1131e-05,             9.1131e-05,             9.1131e-05
                     25,                0.42937,                 0.7084,                0.94483,                0.83127,                 0.4249,                0.55041,                0.46991,                 0.8593,                 2.1807,                 1.1964,             8.9963e-05,             8.9963e-05,             8.9963e-05
                     26,                0.41647,                0.72495,                0.93335,                0.78859,                0.45661,                0.54736,                0.47151,                0.83584,                 2.1625,                 1.1843,             8.8795e-05,             8.8795e-05,             8.8795e-05
                     27,                0.40857,                 0.6951,                0.93249,                0.80325,                0.45767,                0.54498,                0.47144,                0.83224,                 2.0827,                 1.1904,             8.7627e-05,             8.7627e-05,             8.7627e-05
                     28,                0.40829,                0.69441,                0.93875,                0.76497,                 0.4699,                0.54268,                0.45526,                0.86589,                 2.0595,                 1.1883,             8.6459e-05,             8.6459e-05,             8.6459e-05
                     29,                0.40666,                0.66054,                0.93203,                0.73404,                0.48935,                0.56626,                0.48687,                0.83923,                 2.0593,                  1.181,              8.529e-05,              8.529e-05,              8.529e-05
                     30,                0.40353,                0.67457,                0.93491,                0.88941,                0.40207,                0.54851,                0.47272,                0.82879,                 2.0097,                 1.1739,             8.4122e-05,             8.4122e-05,             8.4122e-05
                     31,                0.40097,                 0.6423,                0.93019,                0.81524,                0.47559,                0.57348,                 0.4895,                0.83216,                 1.9761,                 1.1845,             8.2954e-05,             8.2954e-05,             8.2954e-05
                     32,                0.39654,                 0.6416,                0.93189,                 0.7951,                0.47699,                0.56893,                0.49204,                0.81431,                 1.9666,                 1.1571,             8.1786e-05,             8.1786e-05,             8.1786e-05
